signal_time
2023-10-27 18:30:00
2024-04-19 16:30:00
2024-04-22 13:30:00
2024-07-25 14:30:00
2024-07-26 13:30:00
2024-08-02 15:30:00
2024-08-05 14:30:00
2024-09-06 18:30:00
2024-09-09 13:30:00
2024-10-23 18:30:00
2024-11-18 14:30:00
2024-12-19 17:30:00
2024-12-20 14:30:00
2025-02-25 16:30:00
2025-02-28 14:30:00
2025-03-04 16:30:00
2025-03-10 19:30:00
2025-03-11 14:30:00
2025-03-11 17:30:00
2025-04-07 16:30:00
2025-04-07 19:30:00
2025-11-17 20:30:00
2025-11-18 15:30:00
2025-11-18 17:30:00
2026-02-05 15:30:00
2026-03-09 14:30:00
2026-03-19 15:30:00
2026-03-19 18:30:00
2026-03-20 15:30:00
2026-03-23 13:30:00
2026-03-31 13:30:00
2026-06-08 19:30:00
2026-06-09 17:30:00
2026-06-11 13:30:00
